234,AP ARQ. LOPEZ OTERO,78922,2018-01-10 19:00,9,0,0,9,9,3.1A,618.58
618,AP ARQ. LOPEZ OTERO,78922,2018-01-26 19:00,9,0,0,9,9,3.1A,618.58
644,AP ARQ. LOPEZ OTERO,78922,2018-01-27 21:00,4,0,0,4,4,3.1A,618.58
734,AP ARQ. LOPEZ OTERO,78922,2018-01-31 15:00,4,0,0,4,4,3.1A,618.58
781,AP ARQ. LOPEZ OTERO,78922,2018-02-02 14:00,4,0,0,4,4,3.1A,578.97
159,AP ARQ. LOPEZ OTERO,78922,2018-01-07 16:00,8,0,0,8,8,3.1A,618.58
291,AP ARQ. LOPEZ OTERO,78922,2018-01-13 04:00,8,0,0,8,8,3.1A,618.58
686,AP ARQ. LOPEZ OTERO,78922,2018-01-29 15:00,3,0,0,3,3,3.1A,618.58
600,AP ARQ. LOPEZ OTERO,78922,2018-01-26 01:00,8,0,0,8,8,3.1A,618.58
581,AP ARQ. LOPEZ OTERO,78922,2018-01-25 06:00,9,0,0,9,9,3.1A,618.58
795,AP ARQ. LOPEZ OTERO,78922,2018-02-03 04:00,9,0,0,9,9,3.1A,578.97
103,AP ARQ. LOPEZ OTERO,78922,2018-01-05 08:00,8,0,0,8,8,3.1A,618.58
609,AP ARQ. LOPEZ OTERO,78922,2018-01-26 10:00,4,0,0,4,4,3.1A,618.58
842,AP ARQ. LOPEZ OTERO,78922,2018-02-05 03:00,8,0,0,8,8,3.1A,578.97
284,AP ARQ. LOPEZ OTERO,78922,2018-01-12 21:00,9,0,0,9,9,3.1A,618.58
882,AP ARQ. LOPEZ OTERO,78922,2018-02-06 19:00,8,0,0,8,8,3.1A,578.97
546,AP ARQ. LOPEZ OTERO,78922,2018-01-23 19:00,9,0,0,9,9,3.1A,618.58
547,AP ARQ. LOPEZ OTERO,78922,2018-01-23 20:00,9,0,0,9,9,3.1A,618.58
548,AP ARQ. LOPEZ OTERO,78922,2018-01-23 21:00,9,0,0,9,9,3.1A,618.58
549,AP ARQ. LOPEZ OTERO,78922,2018-01-23 22:00,9,0,0,9,9,3.1A,618.58
776,AP ARQ. LOPEZ OTERO,78922,2018-02-02 09:00,4,0,0,4,4,3.1A,578.97
393,AP ARQ. LOPEZ OTERO,78922,2018-01-17 10:00,4,0,0,4,4,3.1A,618.58
796,AP ARQ. LOPEZ OTERO,78922,2018-02-03 05:00,9,0,0,9,9,3.1A,578.97
109,AP ARQ. LOPEZ OTERO,78922,2018-01-05 14:00,4,0,0,4,4,3.1A,618.58
217,AP ARQ. LOPEZ OTERO,78922,2018-01-10 02:00,9,0,0,9,9,3.1A,618.58
731,AP ARQ. LOPEZ OTERO,78922,2018-01-31 12:00,4,0,0,4,4,3.1A,618.58
723,AP ARQ. LOPEZ OTERO,78922,2018-01-31 04:00,9,0,0,9,9,3.1A,618.58
263,AP ARQ. LOPEZ OTERO,78922,2018-01-12 00:00,4,0,0,4,4,3.1A,618.58
264,AP ARQ. LOPEZ OTERO,78922,2018-01-12 01:00,8,0,0,8,8,3.1A,618.58
782,AP ARQ. LOPEZ OTERO,78922,2018-02-02 15:00,4,0,0,4,4,3.1A,578.97
72,AP ARQ. LOPEZ OTERO,78922,2018-01-04 01:00,8,0,0,8,8,3.1A,618.58
915,AP ARQ. LOPEZ OTERO,78922,2018-02-08 04:00,8,0,0,8,8,3.1A,578.97
816,AP ARQ. LOPEZ OTERO,78922,2018-02-04 01:00,9,0,0,9,9,3.1A,578.97
714,AP ARQ. LOPEZ OTERO,78922,2018-01-30 19:00,9,0,0,9,9,3.1A,618.58
617,AP ARQ. LOPEZ OTERO,78922,2018-01-26 18:00,8,0,0,8,8,3.1A,618.58
238,AP ARQ. LOPEZ OTERO,78922,2018-01-10 23:00,9,0,0,9,9,3.1A,618.58
436,AP ARQ. LOPEZ OTERO,78922,2018-01-19 05:00,8,0,0,8,8,3.1A,618.58
878,AP ARQ. LOPEZ OTERO,78922,2018-02-06 15:00,4,0,0,4,4,3.1A,578.97
100,AP ARQ. LOPEZ OTERO,78922,2018-01-05 05:00,8,0,0,8,8,3.1A,618.58
